Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean,provinsi
PT Alfabeta Solusi Nusantara,Computer Vision Engineer (C/C++),Other,Jakarta Raya,,"['c', 'c++', 'deep learning', 'git', 'golang', 'machine learning', 'mongodb', 'mysql', 'oracle', 'postgresql', 'python', 'redis', 'ruby']",Tidak Disebutkan,full time,DKI Jakarta
PT. Entrepreneur Trust Digital,IT System Analyst,Business / System Analyst,Jakarta Pusat,11000000,"['agile', 'jira']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
Cermati Fintech Group,Security Engineer,Security / Cybersecurity,Jakarta Raya,,"['cybersecurity', 'linux', 'networking']",S1,kontrak/temporer,DKI Jakarta
PT. EIKON Technology,IT Technical Support / Engineer,Support / Helpdesk / IT Ops,Surabaya,,"['google cloud', 'linux']",S1,full time,Jawa Timur
PT Agres Info Teknologi,TEKNISI KOMPUTER RAKITAN (KOMPUTER GAMING),Other,Jakarta Utara,,['linux'],Tidak Disebutkan,full time,DKI Jakarta
Internet Warga Tanpa Drama,Teknisi Jaringan (PSB / IKR),Other,Cirebon,,['c'],Tidak Disebutkan,full time,Jawa Barat
CV MEKAR ABADI SENTOSA JAYA,Full Stack Engineer,Fullstack Engineer,Tangerang,7500000,"['android', 'django', 'docker', 'kotlin', 'python']",Tidak Disebutkan,full time,Banten
GriyaNet Indonesia,Backend Developer,Backend Engineer,Malang,5000000,"['aws', 'azure', 'docker', 'git', 'kubernetes', 'laravel', 'mysql', 'php', 'postgresql', 'sql']",S1,full time,Jawa Timur
PT. JARINGAN CYBER EVO,Teknisi Jaringan Internet,Other,Tangerang,,[],Tidak Disebutkan,full time,Banten
PT. VIAPULSA GLOBAL INDONESIA,Front End Developer,Frontend Engineer,Yogyakarta,,"['javascript', 'react', 'typescript']",Tidak Disebutkan,kontrak/temporer,DI Yogyakarta
Pengiklan Anonim,IT Supervisor,Other,Jakarta Selatan,12500000,['networking'],S1,full time,DKI Jakarta
PT Luxehouze Group Indonesia,Business Intelligence Analyst,Data / AI,Jakarta Raya,,['sql'],S1,full time,DKI Jakarta
KOPERASI JASA PT INFRASTRUKTUR TELEKOMUNIKASI INDONESIA,Radio Network Planner (RNP),Network / Infra / SysAdmin,Surabaya,,[],Tidak Disebutkan,kontrak/temporer,Jawa Timur
PT Halliburton Indonesia,Lowongan Kerja Service Planner II,Other,Tangerang District,,"['aws', 'cybersecurity', 'linux', 'networking', 'tcp/ip']",S1,full time,Banten
PT Samsung Electronics Indonesia,Software Engineer - Backend,Backend Engineer,Jakarta Raya,,"['aws', 'django', 'golang', 'java', 'mongodb', 'mysql', 'postgresql', 'python', 'redis', 'terraform']",S1,full time,DKI Jakarta
PT Data Labs Analytics,Cloud Engineer,DevOps / Cloud / SRE,Jakarta Pusat,,"['aws', 'azure', 'docker', 'kubernetes', 'linux', 'terraform']",Tidak Disebutkan,full time,DKI Jakarta
PT. HAND Solutions Indonesia,Software Quality Assurance,QA / Tester,Jakarta Pusat,,"['html', 'java', 'javascript', 'jira', 'postgresql', 'redis']",S1,full time,DKI Jakarta
PT. Kreasi Edulab Indonesia,Quality Assurance Tester,QA / Tester,Bandung,,[],Tidak Disebutkan,full time,Jawa Barat
PT. KODE KOLEKTIF INDONESIA,API Backend Developer,Backend Engineer,Jakarta Raya,,[],Tidak Disebutkan,full time,DKI Jakarta
EY,SOC Analyst - Cybersecurity Technology Consulting,Security / Cybersecurity,Jakarta Raya,,['cybersecurity'],S1,full time,DKI Jakarta
PT Sinar Jernih Suksesindo,IT Quality Assurance (DKI Jakarta),QA / Tester,Jakarta Raya,6875000,[],Tidak Disebutkan,full time,DKI Jakarta
Anteraja,IT FIELD SUPPORT INTERNSHIP,Support / Helpdesk / IT Ops,Jakarta Raya,,[],Tidak Disebutkan,full time,DKI Jakarta
PT Mandiri International Technology,System Engineer,Other,Bandung,,"['linux', 'sql']",S1,kontrak/temporer,Jawa Barat
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),QA Automation - Manufacture Industry,QA / Tester,Jakarta Raya,,"['agile', 'android', 'git', 'ios', 'scrum', 'sql']",S1,kontrak/temporer,DKI Jakarta
Ardakom,Network Specialist,Network / Infra / SysAdmin,Jakarta Barat,4500000,['c'],Tidak Disebutkan,full time,DKI Jakarta
ParagonCorp,Project Manager,Product / Project / Scrum,Jakarta Raya,,['agile'],S1,kontrak/temporer,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),IT QA Automation - Banking Syariah,QA / Tester,Jakarta Raya,,[],S1,kontrak/temporer,DKI Jakarta
PT. TERRA SIGMA SOLUSI,SENIOR NETWORK ENGINEER,Network / Infra / SysAdmin,Jakarta Utara,,['tcp/ip'],Diploma,full time,DKI Jakarta
Material Logistics Handling Pty Ltd,Embedded Software Engineer,Other,Jakarta Raya(Jarak jauh),9000000,"['aws', 'azure', 'c', 'flask', 'iot', 'python']",Tidak Disebutkan,full time,DKI Jakarta
PT TechMaju Digital Archipelago,Solutions Engineer,Other,Bandung,6000000,"['javascript', 'mysql', 'postgresql', 'python']",S1,full time,Jawa Barat
PT GTech Digital Asia,IT Business Analyst,Business / System Analyst,Tangerang District,,"['agile', 'jira', 'scrum', 'ui/ux']",Tidak Disebutkan,full time,Banten
PT Madusari Murni Indah,IT Manager,Other,Malang,,"['aws', 'go']",S1,full time,Jawa Timur
PT Gama Abyakta Sejahtera,Business Intellegence,Other,Bekasi Timur,,['sql'],Diploma,full time,Jawa Barat
PT. Elabram Systems,Spare Part Management,Other,Jakarta Raya,17500000,['excel'],S1,full time,DKI Jakarta
PT. Interaktif Internasional,Lowongan Kerja DevOps,DevOps / Cloud / SRE,Surabaya,,"['azure', 'docker', 'google cloud', 'jenkins', 'kubernetes', 'mysql', 'networking', 'postgresql', 'python', 'terraform']",S1,full time,Jawa Timur
PT Bina Karya Prima,Network Specialist,Network / Infra / SysAdmin,Jakarta Utara,,['networking'],S1,full time,DKI Jakarta
PT Lentera Bangsa Benderang,Data Engineer,Data / AI,Jakarta Selatan,12350000,"['mongodb', 'oracle', 'postgresql', 'python', 'spark', 'sql']",S1,kontrak/temporer,DKI Jakarta
Jonas Photo,Computer Vision Internship,Other,Bandung,,"['machine learning', 'numpy', 'python', 'pytorch', 'tensorflow']",Tidak Disebutkan,paruh waktu,Jawa Barat
Morning Glory Enterprise (Surabaya),Programmer Fullstack,Fullstack Engineer,Surabaya,,"['figma', 'laravel', 'mysql', 'php', 'postgresql', 'ui/ux']",Diploma,full time,Jawa Timur
SAMPOERNA SCHOOLS SYSTEM,Lowongan Kerja SAMPOERNA UNIVERSITY - PART TIME DATA ANALYST,Data / AI,Jakarta Raya,,"['excel', 'power bi', 'sql', 'tableau']",S1,paruh waktu,DKI Jakarta
PT Sea Group,"Data Center Engineer, Infrastructure",Data / AI,Jakarta Raya,,['linux'],Diploma,full time,DKI Jakarta
PT Agres Info Teknologi,NETWORK ENGINEER SUPERVISOR,Network / Infra / SysAdmin,Jakarta Utara,,['tcp/ip'],S1,full time,DKI Jakarta
PT. Wide Technologies Indonesia,Software Backend Engineer,Backend Engineer,Jakarta Selatan,,"['agile', 'docker', 'golang', 'java', 'kubernetes', 'python', 'spring boot']",S1,full time,DKI Jakarta
PT Intrias Mandiri Sejati,IT Solution Delivery,Other,Jakarta Selatan,,"['agile', 'aws', 'azure', 'cybersecurity']",S1,kontrak/temporer,DKI Jakarta
PT. Elabram Systems,Quality Assurance Engineer,QA / Tester,Jakarta Raya,,"['agile', 'jira', 'scrum']",S1,kontrak/temporer,DKI Jakarta
PT. CETC TEKNOLOGI INDONESIA,Technical Engineer – B2B Network Solutions,Network / Infra / SysAdmin,Jakarta Raya,,['networking'],Tidak Disebutkan,full time,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Junior Quality Assurance Automation - Banking Industry,QA / Tester,Jakarta Selatan,6440000,"['java', 'javascript', 'python']",S1,kontrak/temporer,DKI Jakarta
Indoteksaft,Installer & Engineer IPRAN & DWDM,Other,Kabupaten Bandung,,[],Tidak Disebutkan,kontrak/temporer,Jawa Barat
PT Nawa Data Solutions,IT Technical Leader,Other,Jakarta Raya,,"['.net', 'c', 'c#', 'linux', 'mysql', 'postgresql', 'sql']",Diploma,full time,DKI Jakarta
PT Mitracomm Ekasarana,IT Quality Assurance Tester,QA / Tester,Jakarta Raya,6100000,[],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT IDStar Cipta Teknologi,Telco Field Coordinator L2 - Blitar,Other,Blitar,,[],Diploma,kontrak/temporer,Jawa Timur
PT. TERRA SIGMA SOLUSI,Programmer,Other,Jakarta Utara,,"['docker', 'git', 'java', 'laravel', 'mysql', 'node.js', 'php', 'postgresql', 'spring boot', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
PT Nico Urban Indonesia,IT Programmer – Full Stack / Backend,Backend Engineer,Jakarta Barat,,"['git', 'javascript', 'mysql']",Tidak Disebutkan,full time,DKI Jakarta
PT Limin Marine & Offshore,Software Engineer,Other,Jakarta Raya,9250000,"['javascript', 'node.js', 'ui/ux', 'vue']",Tidak Disebutkan,full time,DKI Jakarta
PT Tim Teknologi Global,QA Automation Engineer,QA / Tester,Surabaya,,[],Tidak Disebutkan,paruh waktu,Jawa Timur
PT GITS Indonesia,Mobile Developer (Flutter),Mobile Developer,Bandung,,"['flutter', 'ui/ux']",Tidak Disebutkan,kontrak/temporer,Jawa Barat
PT Murni Development Indonesia,Full Stack Developer,Fullstack Engineer,Jakarta Raya,,"['javascript', 'jenkins', 'node.js', 'react', 'sql', 'typescript']",Tidak Disebutkan,full time,DKI Jakarta
TSMG,Mapping City/Country Expert,Other,Jakarta Raya,,[],Tidak Disebutkan,"full time, kontrak/temporer",DKI Jakarta
Konsultasi,SAP FICO Consultant,ERP / SAP / Odoo / Dynamics,Jakarta Selatan,,['go'],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Agres Info Teknologi,Full Stack Javascript Developer,Backend Engineer,Jakarta Utara,,"['css', 'golang', 'node.js', 'react', 'typescript', 'ui/ux']",Tidak Disebutkan,full time,DKI Jakarta
PT Samsung Electronics Indonesia,Software Engineer - AI,Data / AI,Jakarta Raya,,"['agile', 'aws', 'c', 'c++', 'css', 'deep learning', 'flask', 'java', 'javascript', 'jenkins', 'machine learning', 'python', 'react', 'spark', 'sql', 'typescript']",S1,full time,DKI Jakarta
Anabatic,Website Developer,Other,Tangerang District,,"['css', 'html', 'javascript']",S1,full time,Banten
PT Global Digital Niaga,Business Intelligence Analyst - People Analytics,Data / AI,Jakarta Raya(Jarak jauh),,"['machine learning', 'power bi', 'python', 'sql', 'tableau']",S1,full time,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Fullstack Developer - Software Company (English Speaker),Fullstack Engineer,Jakarta Raya(Jarak jauh),,"['aws', 'docker', 'javascript', 'postgresql', 'python', 'redis', 'sql', 'typescript']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Eka Mas Republik,FWA Network Access Senior Engineer,Network / Infra / SysAdmin,Jakarta Pusat,,['networking'],S1,full time,DKI Jakarta
PT Mid Solusi Nusantara (MEKARI),IT Auditor Lead,Other,Jakarta Raya,,"['cybersecurity', 'javascript', 'python', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
BINAR's Partner,[G01] Data Engineer,Data / AI,Jakarta Raya,,"['aws', 'docker', 'git', 'mysql', 'oracle', 'postgresql', 'python']",Tidak Disebutkan,full time,DKI Jakarta
PT Mid Solusi Nusantara (MEKARI),UX Engineer,Frontend Engineer,Jakarta Raya(Hibrid),,"['git', 'javascript', 'vue']",Tidak Disebutkan,full time,DKI Jakarta
PT IBMC Business Group,Lead Software Engineer,Other,Jakarta Raya(Jarak jauh),28500000,"['agile', 'aws', 'c', 'c#', 'c++', 'docker', 'kubernetes', 'redis', 'terraform']",Tidak Disebutkan,full time,DKI Jakarta
Pengiklan Anonim,ai engineer,Data / AI,Jakarta Barat,12500000,"['aws', 'machine learning', 'nlp', 'python', 'pytorch', 'tensorflow']",Tidak Disebutkan,full time,DKI Jakarta
PT Sea Group,Product Designer - Corporate Lab,Other,Jakarta Raya,,['figma'],S1,full time,DKI Jakarta
Outlier Ai,"Lowongan Kerja AI Training for Math Experts, Indonesian",Data / AI,Bekasi,,['machine learning'],S1,full time,Jawa Barat
Optasia,"Data Intelligence Lead (Regional) APAC, Fintech",Data / AI,Jakarta Raya,,"['go', 'power bi', 'python', 'sql', 'tableau']",S1,full time,DKI Jakarta
PT MSBU Konsultan Indonesia,DevOps Engineer (Cloud & On-Prem) | WFO | Tangerang,DevOps / Cloud / SRE,Tangerang District,,"['aws', 'docker', 'go', 'jenkins', 'kubernetes', 'python', 'terraform']",S1,full time,Banten
PT Tracon Industri,Data Steward Services/Maintenance Analyst,Data / AI,Jakarta Raya,,['networking'],S1,full time,DKI Jakarta
PT. Codedoc Solusi Indonesia,PHP Senior Developer,Other,South Tangerang,,"['git', 'laravel', 'mysql', 'php', 'postgresql']",Tidak Disebutkan,kontrak/temporer,Banten
PT Karisma Zona Kreatifku,Fullstack Developer,Fullstack Engineer,Jakarta Raya,11000000,"['.net', 'angular', 'c', 'c#', 'javascript', 'sql', 'typescript', 'ui/ux']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Tim Teknologi Global,FullStack Software Developer,Fullstack Engineer,Surabaya,,"['agile', 'aws', 'azure', 'flutter', 'git', 'php', 'python', 'react', 'sql', 'vue']",S1,full time,Jawa Timur
NAVEGaid,Front-End Developer – 7th hire at a Startup!,Other,Jakarta Raya,7000000,"['agile', 'css', 'html', 'javascript', 'react', 'vue']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT BIPO Service Indonesia,Senior Software Quality Assurance (Manual),QA / Tester,Jakarta Raya,,['agile'],Tidak Disebutkan,full time,DKI Jakarta
Cloudisai Technology Services,Senior Full-Stack Engineering Lead,Other,Yogyakarta,25000000,"['.net', 'agile', 'aws', 'azure', 'c', 'c#', 'javascript', 'mongodb', 'mysql', 'node.js', 'postgresql', 'react', 'scrum', 'typescript']",Tidak Disebutkan,full time,DI Yogyakarta
